STN_ID,STN_KO,STN_SP,LON,LAT,HT,FCT_ID,WRN_ID
90,속초,41211110,128.56473,38.25085,17.53,11D20402,------
92,양양(공),20111000,128.66298,38.05903,75.4,11D20403,------
93,북춘천,41211111,127.75443,37.94738,95.78,11D10301,------
95,철원,41211110,127.3042,38.14787,155.48,11D10101,------
96,독도,01111100,131.86983,37.23952,99.08,11E00102,L1072100
98,동두천,41211110,127.0607,37.90188,115.62,11B20401,L1011100
99,파주,41211110,126.76648,37.88589,30.59,11B20305,L1011800
100,대관령,41211110,128.71834,37.67713,772.43,11D20200,------
101,춘천,41211111,127.7357,37.90262,75.82,11D10301,------
102,백령도,41211110,124.71237,37.97396,36.0,11A00101,L1014100
104,북강릉,41211111,128.85535,37.80456,75.24,11D20501,------
105,강릉,41211111,128.89099,37.75147,27.12,11D20501,------
106,동해,41211110,129.12433,37.50709,40.46,11D20601,------
108,서울,41211111,126.9658,37.57142,85.67,11B10101,L1010100
110,김포(공),20111000,126.79451,37.55891,11.38,11B10101,L1010100
112,인천,41211111,126.6249,37.47772,68.99,11B20201,L1010800
113,인천(공),20111000,126.44087,37.4625,7.1,11B20201,L1010800
114,원주,41211110,127.94659,37.33749,150.11,11D10401,------
115,울릉도,41211111,130.89863,37.48129,221.14,11E00101,L1072100
116,관악(레),01111000,126.96402,37.44526,624.82,11B10102,L1010300
119,수원,X1211111,126.983,37.25746,39.81,11B20601,L1011900
121,영월,41211210,128.45743,37.18126,240.54,11D10501,------
127,충주,41211110,127.9525,36.97045,114.85,11C10101,L1040800
128,청주(공) *,20111000,127.5,36.71666667,58.0,11C10301,L1040100
129,서산,X1211111,126.4939,36.77658,25.25,11C20101,L1031300
130,울진,41211210,129.41278,36.99176,48.98,11H10101,L1072310
131,청주,41211110,127.44066,36.63924,58.7,11C10301,L1040100
133,대전,41211111,127.3721,36.37199,67.79,11C20401,L1030100
135,추풍령,41211110,127.99458,36.22025,244.98,11C10401,L1040700
136,안동,41211110,128.70733,36.57293,141.26,11H10501,L1071500
137,상주,41211110,128.15741,36.40837,96.58,11H10302,L1071200
138,포항,41211111,129.38002,36.03201,3.94,11H10201,L1072400
139,포항(공) *,20111000,129.4167,35.9833,21.0,11H10201,L1072400
140,군산,41211000,126.76135,36.0053,27.85,21F10501,L1060300
142,대구(공) *,20111000,128.66111111,35.89083333,35.4,11H10701,L1070100
143,대구,41211110,128.65296,35.87797,54.27,11H10701,L1070100
146,전주,41211110,127.11718,35.84092,60.44,11F10201,L1061300
151,울산(공),20111000,129.35222222,35.59333333,12.6,11H20101,L1082900
152,울산,41211110,129.33469,35.58237,81.14,11H20101,L1082900
153,김해(공) *,20111000,128.93444444,35.16916667,4.0,11H20201,L1082600
155,창원,41211110,128.57282,35.17019,34.97,11H20301,L1080600
156,광주,41211110,126.89156,35.17294,70.28,11F20501,L1050100
158,광주(공) *,20111000,126.81166666,35.125,12.8,11F20501,L1050100
159,부산,41211111,129.03203,35.10468,69.56,11H20201,L1082600
160,부산(레),01110000,128.99995,35.11882,512.0,11H20201,L1082600
161,사천(공) *,20111000,128.06666666,35.08333333,8.0,11H20402,L1082100
162,통영,41211110,128.43561,34.84541,31.24,11H20401,L1082000
163,무안(공),20111000,126.38305555,34.99138888,10.9,21F20804,L1051800
165,목포,41211111,126.38151,34.81732,44.7,21F20801,L1052100
167,여수(공),20111000,127.6125,34.84666667,17.9,11F20401,L1051000
168,여수,41211111,127.74063,34.73929,65.93,11F20401,L1051000
169,흑산도,41211110,125.45105,34.68719,75.12,11F20701,L1052400
170,완도,41211110,126.70182,34.3959,35.37,11F20301,L1051600
172,고창,41211110,126.599,35.34824,52.42,21F10601,L1060100
174,순천,41211210,127.3694,35.0204,165.0,11F20603,L1051200
175,진도(레),01111000,126.3238,34.47211,478.51,21F20201,L1052300
177,홍성,41211110,126.68772,36.65759,27.74,11C20104,L1031600
181,서청주,41211110,127.38466,36.64002,32.0,11C10301,L1040100
182,제주(공),20111000,126.5,33.51666667,26.5,11G00200,L1090700
184,제주,41211111,126.52969,33.51411,20.79,11G00200,L1090700
185,고산,41211110,126.16283,33.29382,71.39,11G00500,L1090600
188,성산,41211210,126.8802,33.38677,20.34,11G00100,L1090800
189,서귀포,41211110,126.5653,33.24616,51.86,11G00400,L1090900
192,진주,41211110,128.04004,35.16378,29.35,11H20701,L1081400
201,강화,41211210,126.44634,37.70739,47.84,11B20101,L1010900
202,양평,41211210,127.49446,37.48863,47.26,11B20503,L1013500
203,이천,41211210,127.48421,37.26399,80.09,11B20701,L1013000
211,인제,41211210,128.16714,38.05986,201.78,11D10201,------
212,홍천,41211210,127.88043,37.6836,140.2,11D10302,------
216,태백,41211110,128.98929,37.17038,714.45,11D20301,------
217,정선군,41211211,128.67348,37.37732,312.0,11D10502,------
221,제천,41211210,128.19433,37.15928,264.62,11C10201,L1040900
226,보은,41211210,127.73415,36.48761,171.31,11C10302,L1040300
229,북격렬비도 *,01111200,125.55954,36.62544,104.81,11C20102,L1031100
