name,latitude,longitude
성산일출봉,33.45843,126.9422
한라산 국립공원,33.36062,126.5358
협재 해수욕장,33.39414,126.23972
제주 오름 승마랜드,33.449,126.71346
성읍 민속 마을,33.38635,126.79974
천지연 폭포,33.24689,126.55439
광치기 해변,33.45133,126.9247
소천지,33.23899,126.5914
1100 고지습지,33.35797,126.4636
월평포구,33.23433,126.46347
돈내코유원지,33.30055,126.5851
형제해안로,33.22727,126.30285
물영아리오름,33.36919,126.69356
안덕계곡,33.25732,126.35286
혼인지,33.41597,126.89389
감귤 박물관,33.27153,126.60763
아쿠아플라넷,33.43275,126.92781
삼매봉공원,33.24385,126.54769
기당미술관,33.24487,126.5513
산방산랜드,33.2338,126.31175
파더스가든,33.4586,126.9431
휴애리자연생활공원,33.30878,126.63381
제주항공우주박물관,33.30432,126.29981
대포해안주상절리대,33.23771,126.42504
오설록 티 뮤지엄,33.30589,126.28952
외돌개,33.24003,126.54573
서귀포층패류,33.23941,126.55715000000001
속골,33.24053,126.52626
저지오름,33.33327,126.25076
금오름,33.35556,126.30571
산지등대,33.52133,126.54567
용눈이오름,33.45971,126.83154
용두암,33.51626,126.51205
소산오름,33.44536,126.55437
판포포구,33.36532,126.19974
별방진,33.52658,126.88401
함덕 해수욕장,33.5434,126.66981
어승생악,33.39655,126.48907
현사포구,33.49753,126.44958
창꼼바위,33.55309,126.70006
새별프렌즈 동물원,33.36228,126.36399
화조원,33.41139,126.37181
제주현대미술관,33.33966,126.26568
산양큰엉곶,33.29092,126.25065
만장굴,33.52822,126.7703
동문재래시장,33.51206,126.52827
9.81 파크,33.38989,126.3663
제주 레일바이크,33.46429,126.83659
협재굴,33.38797,126.23979
쌍용굴,33.38665,126.24053
야자수나무길,33.39243,126.23707
금능해수욕장,33.39144,126.23692
한림공원,33.38954,126.23932
제주향교,33.51132,126.5158
우무 본점,33.40589,126.25656
스누피가든,33.44417,126.77831
랜디스도넛 제주애월점,33.4612,126.31164
쇠소깍,33.25247,126.6235
한라수목원,33.4696,126.49332
수풍석 뮤지엄,33.30093,126.39172
제주무민랜드,33.30704,126.38201
뽀로로&타요 테마파크 제주,33.30082,126.37103
카멜리아 힐,33.28978,126.36832
세계 자동차&피아노 박물관,33.28346,126.34985
거린오름,33.30328,126.33106
로봇플래닛,33.29725,126.30777
이상한 나라의 앨리스,33.28892,126.32183
헬로키티 아일랜드,33.2902,126.35207
소인국 테마파크,33.28211,126.33179
생각하는 정원,33.32569,126.25522
넙게오름,33.28888,126.31903
남송이오름,33.31217,126.30658
신화테마파크,33.30491,126.31526
사계해변,33.23118,126.31047
제주곶자왈도립공원,33.28632,126.27074
쉬리의 언덕,33.2454,126.40729
베릿내공원,33.24589,126.41831
박물관은 살아있다,33.25489,126.40872
용머리해안,33.23158,126.31483
풍차쪽일몰,33.36217,126.19003
대정향교,33.23929,126.28842
제주 돌마을 공원,33.35374,126.2537
돔베낭골,33.24004,126.53337
신비의 도로(도깨비도로),33.45114,126.48781
박수기정,33.23656,126.35668
용연구름다리,33.5149,126.51434
조안베어뮤지엄,33.24027,126.43419
소낭머리,33.24343,126.56963
제주약초나라 감귤 체험 파크,33.26449,126.29601
피규어뮤지엄제주,33.28183,126.35528
노리매,33.28267,126.28689
새미 은총의 동산,33.34827,126.32277
용두암,33.51625,126.51204
연화지,33.45501,126.3475
한담해안산책로,33.45911,126.31035
애월 돌고래 전망대,33.47861,126.36356
제주불빛정원,33.42225,126.40928
항파두리 항몽유적지,33.45205,126.40774
중엄리새물,33.47841,126.3693
제주목 관아,33.5136,126.52204
중문관광단지,33.24867,126.41246
애월 카페거리,33.46235,126.31037
해거름전망대,33.37113,126.20623
제주빅볼랜드,33.44245,126.7751
그리스신화 박물관,33.34784,126.35764
구엄리 돌염전,33.48352,126.37642
수목원 테마파크,33.47046,126.48854
카약올레,33.46238,126.31051
고스트타운,33.4763,126.35705
곽지해수욕장,33.45093,126.30573
이호테우해변,33.49795,126.45312
테지움 제주,33.41229,126.39358
어도오름,33.42094,126.30718
관덕정,33.51336,126.52152
천제연폭포,33.25067,126.41673
테쉬폰,33.34696,126.328
초콜릿랜드,33.24945,126.41337
제주 유리의 성,33.3146,126.2737
제주 공룡랜드,33.44126,126.434
메밀꽃밭,33.49118,126.65098
바농오름,33.45373,126.65397
말찻오름,33.40049,126.65549
제주절물자연휴양림,33.43937,126.62994
4.3 유적지,33.41776,126.62493
에코랜드 테마파크,33.43407,126.72412
렛츠런팜제주목장,33.41701,126.6815
두맹이 골목,33.51222,126.53338
선흘 의자동굴,33.50786,126.7206
삼다마을 목장,33.43342,126.67019
노루생태관찰원,33.44434,126.62672
억새밭,33.433,126.74297
녹산로 유채꽃길,33.39863,126.72011
제주조천 스위스마을,33.49424,126.67678
선녀와 나무꾼 체마공원,33.479,126.70344
제주센트럴파크,33.43356,126.67307
제주 4.3 평화공원,33.45164,126.61901
제주돌문화공원,33.44857,126.65863
짚라인 제주,33.48687,126.70615
캐릭파크 제주,33.47935,126.70065
비밀의 숲,33.45351,126.75568
별빛누리공원,33.44455,126.54929
편백나무 숲,33.45759,126.75505
교래자연휴양림,33.44179,126.66666
