#START7777
#--------------------------------------------------------------------------------------------------
#  S     : 장비구분 (1:안개관측망(먼저 설치), 2:첨단화장비)
#  VIS1  : 1분 평균 시정(m)  : 샘플링은 1초간격(첨단화)
#  VIS10 : 10분 평균 시정(m) : 안개관측망에서만 있음
#  WW1   : 1분 순간 현천(코드)  : 샘플링은 1초간격(첨단화)
#  WW15  : 15분 평균 현천(코드) : 안개관측망에서만 있음
#--------------------------------------------------------------------------------------------------
# 현천코드 : 0~2(맑음), 4(연무), 10(박무), 30(안개), 40~42(비), 50~59(안개비), 60~68(비), 71~76(눈)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,STN, LON., LAT.,S,VIS1,VIS10,WW1,WW15,=
#        KST, ID,(deg),(deg), , (m),  (m),   ,    ,=
202411130348,   90,128.56472778, 38.25085068,1, 40375,  -999,     0,  -999,=
202411130348,   95,127.30419922, 38.14786911,2, 29187,  -999,     0,  -999,=
202411130348,   98,127.06069946, 37.90187836,2, 10419,  -999,     0,  -999,=
202411130348,   99,126.76647949, 37.88589096,2,  2061,  -999,     0,  -999,=
202411130348,  100,128.71833801, 37.67713165,2, 19561,  -999,     0,  -999,=
202411130348,  101,127.73570251, 37.90261841,2,  7980,  -999,     4,  -999,=
202411130348,  102,124.71237183, 37.97396088,2, 50000,  -999,     0,  -999,=
202411130348,  104,128.85534668, 37.80456161,1, 16444,  -999,     0,  -999,=
202411130348,  105,128.89099121, 37.75146866,2, 30700,  -999,     0,  -999,=
202411130348,  106,129.12432861, 37.50709152,2, 16330,  -999,     0,  -999,=
202411130348,  108,126.96579742, 37.57141876,1, 16003,  -999,     0,  -999,=
202411130348,  112,126.62490082, 37.47771835,1, 18120,  -999,     0,  -999,=
202411130348,  114,127.94658661, 37.33749008,1, 13770,  -999,     0,  -999,=
202411130348,  115,130.89863586, 37.48128891,1, 43090,  -999,     0,  -999,=
202411130348,  119,126.98300171, 37.25746155,2,  4910,  -999,  -999,  -999,=
202411130348,  121,128.45742798, 37.18125916,1,  7040,  -999,     4,  -999,=
202411130348,  127,127.95249939, 36.97045135,2,  2738,  -999,     4,  -999,=
202411130348,  129,126.49389648, 36.77658081,2,  3146,  -999,  -999,  -999,=
202411130348,  131,127.44065857, 36.63924026,2,  6779,  -999,     4,  -999,=
202411130348,  133,127.37210083, 36.37199020,1,  4850,  -999,     4,  -999,=
202411130348,  135,127.99458313, 36.22024918,2,  9685,  -999,    10,  -999,=
202411130348,  136,128.70733643, 36.57292938,2, 16937,  -999,     0,  -999,=
202411130348,  137,128.15740967, 36.40837097,2, 10676,  -999,     0,  -999,=
202411130348,  138,129.38002014, 36.03200912,2, 29252,  -999,     0,  -999,=
202411130348,  143,128.65295410, 35.87797165,2, 11262,  -999,     0,  -999,=
202411130348,  146,127.11717987, 35.84091949,2, 12961,  -999,     0,  -999,=
202411130348,  155,128.57281494, 35.17018890,1, 24835,  -999,     0,  -999,=
202411130348,  156,126.89156342, 35.17293930,1, 11925,  -999,     0,  -999,=
202411130348,  159,129.03202820, 35.10467911,1, 29664,  -999,     0,  -999,=
202411130348,  165,126.38150787, 34.81732178,1, 18960,  -999,     0,  -999,=
202411130348,  168,127.74063110, 34.73928833,2, 29695,  -999,     0,  -999,=
202411130348,  169,125.45104980, 34.68719101,2, 21520,  -999,     0,  -999,=
202411130348,  170,126.70182037, 34.39590073,1, 20956,  -999,     0,  -999,=
202411130348,  172,126.59899902, 35.34823990,2,  1830,  -999,     4,  -999,=
202411130348,  174,127.36940002, 35.02040100,1,  6768,  -999,    10,  -999,=
202411130348,  177,126.68772125, 36.65758896,2,  1580,  -999,     4,  -999,=
202411130348,  184,126.52969360, 33.51411057,1, 29040,  -999,     0,  -999,=
202411130348,  189,126.56529999, 33.24615860,1, 34520,  -999,     0,  -999,=
202411130348,  192,128.04003906, 35.16378021,2,  7936,  -999,     4,  -999,=
202411130348,  201,126.44634247, 37.70738983,1, 38681,  -999,     0,  -999,=
202411130348,  202,127.49446106, 37.48862839,1,  8998,  -999,    40,  -999,=
202411130348,  203,127.48420715, 37.26398849,1,  4076,  -999,     4,  -999,=
202411130348,  211,128.16714478, 38.05986023,2, 27468,  -999,     0,  -999,=
202411130348,  212,127.88043213, 37.68360138,2, 14085,  -999,     0,  -999,=
202411130348,  216,128.98928833, 37.17037964,1, 19007,  -999,     0,  -999,=
202411130348,  217,128.64590454, 37.38148880,2, 16412,  -999,     0,  -999,=
202411130348,  221,128.19433594, 37.15927887,1,  7453,  -999,     4,  -999,=
202411130348,  226,127.73415375, 36.48760986,1,  4466,  -999,     4,  -999,=
202411130348,  232,127.29282379, 36.76216888,1,  2447,  -999,    10,  -999,=
202411130348,  235,126.55744171, 36.32723999,1,  6230,  -999,     4,  -999,=
202411130348,  236,126.92079163, 36.27241898,1,  4427,  -999,     4,  -999,=
202411130348,  238,127.48175049, 36.10562897,1,  7345,  -999,     4,  -999,=
202411130348,  239,127.24437714, 36.48522186,2,  8900,  -999,     4,  -999,=
202411130348,  243,126.71656799, 35.72961044,1,  3910,  -999,     4,  -999,=
202411130348,  244,127.28556061, 35.61203003,1, 10244,  -999,     1,  -999,=
202411130348,  245,126.83904266, 35.56336975,1,  2358,  -999,    10,  -999,=
202411130348,  247,127.39652252, 35.42129898,1,  5931,  -999,    10,  -999,=
202411130348,  248,127.52030945, 35.65695953,1,  6321,  -999,     4,  -999,=
202411130348,  251,126.69699860, 35.42660904,2,  4026,  -999,     4,  -999,=
202411130348,  252,126.47783661, 35.28366089,2,  2905,  -999,     4,  -999,=
202411130348,  253,128.89074707, 35.22980881,2, 20912,  -999,     0,  -999,=
202411130348,  254,127.12860107, 35.37131119,2,  7099,  -999,     0,  -999,=
202411130348,  255,128.67260742, 35.22655106,2, 18743,  -999,     0,  -999,=
202411130348,  257,129.02009583, 35.30736923,2, 11511,  -999,     0,  -999,=
202411130348,  258,127.21225739, 34.76335144,2, 21761,  -999,  -999,  -999,=
202411130348,  259,126.78408051, 34.64456940,2, 11030,  -999,     0,  -999,=
202411130348,  260,126.91950989, 34.68886185,1,  5409,  -999,    10,  -999,=
202411130348,  261,126.56906891, 34.55374908,1,  3740,  -999,     4,  -999,=
202411130348,  262,127.27571869, 34.61825943,1,  7086,  -999,    10,  -999,=
202411130348,  263,128.28811646, 35.32257843,2,  6313,  -999,    10,  -999,=
202411130348,  264,127.74537659, 35.51137924,2,  2698,  -999,     4,  -999,=
202411130348,  266,127.69139862, 34.94340134,2, 22285,  -999,     0,  -999,=
202411130348,  268,126.25846100, 34.47296143,2, 11670,  -999,     0,  -999,=
202411130348,  269,126.03050232, 35.34690094,2, 15446,  -999,     0,  -999,=
202411130348,  271,128.91448975, 36.94361115,1,  5738,  -999,    10,  -999,=
202411130348,  272,128.51687622, 36.87182999,1, 11948,  -999,     0,  -999,=
202411130348,  273,128.14878845, 36.62726974,1,  6607,  -999,     4,  -999,=
202411130348,  276,129.04005432, 36.43510056,2, 12364,  -999,     0,  -999,=
202411130348,  277,129.40925598, 36.53337097,1, 20781,  -999,     0,  -999,=
202411130348,  278,128.68864441, 36.35609818,1, 16779,  -999,     0,  -999,=
202411130348,  279,128.32055664, 36.13055038,1, 13960,  -999,     0,  -999,=
202411130348,  281,128.95140076, 35.97742081,1, 15756,  -999,     0,  -999,=
202411130348,  283,129.20123291, 35.81747055,2, 12004,  -999,     0,  -999,=
202411130348,  284,127.90989685, 35.66738892,1,  5890,  -999,     4,  -999,=
202411130348,  285,128.16993713, 35.56504822,1,  3627,  -999,     4,  -999,=
202411130348,  288,128.74412537, 35.49147034,1, 16480,  -999,     0,  -999,=
202411130348,  289,127.87909698, 35.41299820,1,  5140,  -999,     4,  -999,=
202411130348,  294,128.60458374, 34.88817978,1, 12684,  -999,     0,  -999,=
202411130348,  295,127.92640686, 34.81661987,1, 24283,  -999,     0,  -999,=
202411130348,  301,126.11637878, 35.09511185,2, 17481,  -999,     0,  -999,=
202411130348,  303,125.09722137, 34.07249832,2, 28090,  -999,     0,  -999,=
202411130348,  309,126.68659973, 37.94639969,2,  4222,  -999,    10,  -999,=
202411130348,  319,130.87083435, 37.53725815,2, 33623,  -999,     0,  -999,=
202411130348,  328,126.40599823, 33.24940109,2, 15732,  -999,     0,  -999,=
202411130348,  400,127.08165741, 37.49819946,2,  5928,  -999,    10,  -999,=
202411130348,  410,126.91745758, 37.49330139,2, 15323,  -999,     0,  -999,=
202411130348,  418,126.93904114, 37.52489090,2, 19190,  -999,     0,  -999,=
202411130348,  494,127.24063873, 36.53152084,2,  1500,  -999,     4,  -999,=
202411130348,  497,128.85147095, 37.57516098,2,  9680,  -999,     4,  -999,=
202411130348,  501,125.69818878, 37.65890884,2, 44265,  -999,     0,  -999,=
202411130348,  504,127.18073273, 37.87034988,2,  6410,  -999,     4,  -999,=
202411130348,  513,126.01426697, 37.06550980,2, 36860,  -999,     0,  -999,=
202411130348,  515,126.77388763, 37.08452988,2,   863,  -999,    30,  -999,=
202411130348,  516,127.25016785, 37.00371170,1,  1738,  -999,    10,  -999,=
202411130348,  517,128.47523499, 38.38510132,2, 33082,  -999,     0,  -999,=
202411130348,  518,128.12109375, 38.26958084,2, 14725,  -999,     0,  -999,=
202411130348,  519,127.51940918, 38.07545090,2, 14648,  -999,     0,  -999,=
202411130348,  522,127.98380280, 37.78712082,2,  6890,  -999,     4,  -999,=
202411130348,  523,128.82139587, 37.89847946,2, 19016,  -999,     0,  -999,=
202411130348,  525,128.37724304, 37.61233902,2, 12473,  -999,     0,  -999,=
202411130348,  526,128.39468384, 37.37747955,2, 26150,  -999,     0,  -999,=
202411130348,  527,128.64126587, 37.21107864,2, 16843,  -999,     0,  -999,=
202411130348,  529,129.28584290, 37.14155960,2, 36967,  -999,     0,  -999,=
202411130348,  530,130.81179810, 37.51509857,2, 20000,  -999,     0,  -999,=
202411130348,  531,127.55219269, 37.89807129,2, 18540,  -999,     0,  -999,=
202411130348,  532,127.07348633, 37.73476028,2,  3680,  -999,     4,  -999,=
202411130348,  534,127.61058044, 37.12099838,2,  1761,  -999,     4,  -999,=
202411130348,  535,128.18264771, 37.71701050,2, 10340,  -999,     0,  -999,=
202411130348,  536,127.97241974, 37.48759842,2, 18722,  -999,     0,  -999,=
202411130348,  537,128.84588623, 37.48323059,2,  6180,  -999,     4,  -999,=
202411130348,  540,126.89199829, 37.63729858,2, 24764,  -999,     0,  -999,=
202411130348,  541,127.15055084, 37.63404846,2,  7538,  -999,    10,  -999,=
202411130348,  542,127.38017273, 37.68413925,2, 20800,  -999,     0,  -999,=
202411130348,  545,126.83847809, 37.28102875,2,  1807,  -999,     4,  -999,=
202411130348,  548,127.63955688, 37.26882935,2,  5820,  -999,     4,  -999,=
202411130348,  549,127.22177887, 37.27011108,2,  3358,  -999,    10,  -999,=
202411130348,  551,127.10878754, 36.98768997,2,  2147,  -999,    10,  -999,=
202411130348,  552,127.42449951, 38.27219009,2, 20448,  -999,     0,  -999,=
202411130348,  554,128.43713379, 38.21438980,2,  1160,  -999,    10,  -999,=
202411130348,  555,127.69091797, 38.08356094,2, 17190,  -999,     0,  -999,=
202411130348,  556,127.98526764, 38.09798813,2, 11425,  -999,    51,  -999,=
202411130348,  557,128.31887817, 37.95365906,2, 18452,  -999,     0,  -999,=
202411130348,  559,128.39727783, 37.77804947,2, 14749,  -999,     0,  -999,=
202411130348,  561,128.15275574, 37.58219147,2,  9510,  -999,    10,  -999,=
202411130348,  563,128.68280029, 37.46355820,2, 23659,  -999,     0,  -999,=
202411130348,  566,128.81924438, 37.85155106,2, 20550,  -999,     0,  -999,=
202411130348,  569,127.15698242, 37.58224106,2, 14199,  -999,     0,  -999,=
202411130348,  570,126.64232635, 37.62319946,2, 15331,  -999,     0,  -999,=
202411130348,  571,126.82093811, 37.19525146,2,  2830,  -999,     4,  -999,=
202411130348,  579,128.91329956, 37.36684036,2,  9788,  -999,     4,  -999,=
202411130348,  580,129.02888489, 37.61344910,2, 15421,  -999,     0,  -999,=
202411130348,  581,128.77441406, 37.11663055,2,  9574,  -999,     0,  -999,=
202411130348,  583,128.15510559, 37.46463013,2, 11130,  -999,     0,  -999,=
202411130348,  586,127.87693787, 38.03208923,2, 25301,  -999,     0,  -999,=
202411130348,  588,127.64289093, 37.79066086,2, 12355,  -999,     0,  -999,=
202411130348,  589,126.79026031, 37.70235825,2, 10543,  -999,     0,  -999,=
202411130348,  590,127.00248718, 37.44028091,2,  1677,  -999,     4,  -999,=
202411130348,  593,128.54069519, 38.00730896,2, 39260,  -999,     0,  -999,=
202411130348,  598,126.99050140, 37.83118057,2,  3703,  -999,     4,  -999,=
202411130348,  601,128.36689758, 36.98551941,2,  6764,  -999,    10,  -999,=
202411130348,  602,127.46250153, 36.86339951,2,  2099,  -999,    10,  -999,=
202411130348,  603,127.77758026, 36.81612015,2,  3130,  -999,     4,  -999,=
202411130348,  604,127.59654999, 36.29993820,2,  8050,  -999,     4,  -999,=
202411130348,  605,127.75499725, 36.15999985,2,  9320,  -999,     4,  -999,=
202411130348,  606,126.38807678, 37.01060867,2,  8799,  -999,     0,  -999,=
