#START7777
#--------------------------------------------------------------------------------------------------
#  CH_LOW : 하층 운고(m) : 7620m 이면 구름없음
#  CH_MID : 중층 운고(m)
#  CH_TOP : 상층 운고(m)
#  CA_TOT : 전운량(%)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,  STN,        LON.,       LAT., CH_LOW,CH_MID,CH_TOP,CA_TOT,=
#        KST,   ID,       (deg),      (deg),    (m),   (m),   (m),   1/8,=
202412151725,   90,128.56472778, 38.25085068,  7620,  7620,  7620, 0.0,=
202412151725,   93,127.75443268, 37.94738007,  7620,  7620,  7620, 0.0,=
202412151725,   95,127.30419922, 38.14786911,  7620,  7620,  7620, 0.0,=
202412151725,   98,127.06069946, 37.90187836,  7620,  7620,  7620, 0.0,=
202412151725,   99,126.76647949, 37.88589096,  7620,  7620,  7620, 0.0,=
202412151725,  100,128.71833801, 37.67713165,   975,  7620,  7620, 1.0,=
202412151725,  102,124.71237183, 37.97396088,  1371,  7620,  7620, 6.0,=
202412151725,  104,128.85534668, 37.80456161,  7620,  7620,  7620, 0.0,=
202412151725,  105,128.89099121, 37.75146866,  7620,  7620,  7620, 0.0,=
202412151725,  106,129.12432861, 37.50709152,  7620,  7620,  7620, 0.0,=
202412151725,  108,126.96579742, 37.57141876,  7620,  7620,  7620, 1.0,=
202412151725,  112,126.62490082, 37.47771835,  7620,  7620,  7620, 0.0,=
202412151725,  114,127.94658661, 37.33749008,  7620,  7620,  7620, 0.0,=
202412151725,  115,130.89863586, 37.48128891,  1438,  1645,  7620, 7.0,=
202412151725,  119,126.98300171, 37.25746155,  7620,  7620,  7620, 1.0,=
202412151725,  121,128.45742798, 37.18125916,  1188,  7620,  7620, 4.0,=
202412151725,  127,127.95249939, 36.97045135,  7620,  7620,  7620, 3.0,=
202412151725,  129,126.49389648, 36.77658081,  7569,  7620,  7620, 6.0,=
202412151725,  130,129.41278076, 36.99176025,  7620,  7620,  7620, 0.0,=
202412151725,  131,127.44065857, 36.63924026,   853,  1432,  7620, 4.0,=
202412151725,  133,127.37210083, 36.37199020,  1746,  2166,  7620, 1.0,=
202412151725,  135,127.99458313, 36.22024918,   487,  7620,  7620, 8.0,=
202412151725,  136,128.70733643, 36.57292938,  1066,  7620,  7620, 7.0,=
202412151725,  137,128.15740967, 36.40837097,  1051,  7620,  7620, 1.0,=
202412151725,  138,129.38002014, 36.03200912,  1277,  7620,  7620, 7.0,=
202412151725,  140,126.76135254, 36.00529861,  1178,  7620,  7620, 7.0,=
202412151725,  143,128.65295410, 35.87797165,  1240,  7568,  7620, 7.0,=
202412151725,  146,127.11717987, 35.84091949,  1033,  7620,  7620, 1.0,=
202412151725,  152,129.33468628, 35.58237076,  1834,  7620,  7620, 8.0,=
202412151725,  155,128.57281494, 35.17018890,  4703,  7620,  7620, 4.0,=
202412151725,  156,126.89156342, 35.17293930,  1386,  7620,  7620, 7.0,=
202412151725,  159,129.03202820, 35.10467911,  1770,  7620,  7620, 0.0,=
202412151725,  162,128.43560791, 34.84540939,  7620,  7620,  7620, 0.0,=
202412151725,  165,126.38150787, 34.81732178,  1839,  7620,  7620, 1.0,=
