#START7777
#--------------------------------------------------------------------------------------------------
#  S     : 장비구분 (1:안개관측망(먼저 설치), 2:첨단화장비)
#  VIS1  : 1분 평균 시정(m)  : 샘플링은 1초간격(첨단화)
#  VIS10 : 10분 평균 시정(m) : 안개관측망에서만 있음
#  WW1   : 1분 순간 현천(코드)  : 샘플링은 1초간격(첨단화)
#  WW15  : 15분 평균 현천(코드) : 안개관측망에서만 있음
#--------------------------------------------------------------------------------------------------
# 현천코드 : 0~2(맑음), 4(연무), 10(박무), 30(안개), 40~42(비), 50~59(안개비), 60~68(비), 71~76(눈)
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI,STN, LON., LAT.,S,VIS1,VIS10,WW1,WW15,=
#        KST, ID,(deg),(deg), , (m),  (m),   ,    ,=
202412150636,   90,128.56472778, 38.25085068,1, 50000,  -999,     0,  -999,=
202412150636,   95,127.30419922, 38.14786911,2, 50000,  -999,     0,  -999,=
202412150636,   98,127.06069946, 37.90187836,2, 15253,  -999,     0,  -999,=
202412150636,   99,126.76647949, 37.88589096,2, 34856,  -999,     0,  -999,=
202412150636,  100,128.71833801, 37.67713165,2,  9948,  -999,    71,  -999,=
202412150636,  101,127.73570251, 37.90261841,2, 39130,  -999,     0,  -999,=
202412150636,  102,124.71237183, 37.97396088,2, 50000,  -999,     0,  -999,=
202412150636,  104,128.85534668, 37.80456161,1, 40191,  -999,     0,  -999,=
202412150636,  105,128.89099121, 37.75146866,2, 48900,  -999,     0,  -999,=
202412150636,  106,129.12432861, 37.50709152,2, 44985,  -999,     0,  -999,=
202412150636,  108,126.96579742, 37.57141876,1, 26578,  -999,     0,  -999,=
202412150636,  112,126.62490082, 37.47771835,1, 37540,  -999,     0,  -999,=
202412150636,  114,127.94658661, 37.33749008,1, 45420,  -999,     0,  -999,=
202412150636,  115,130.89863586, 37.48128891,1, 50000,  -999,     0,  -999,=
202412150636,  119,126.98300171, 37.25746155,2,  9140,  -999,  -999,  -999,=
202412150636,  121,128.45742798, 37.18125916,1, 28700,  -999,     0,  -999,=
202412150636,  127,127.95249939, 36.97045135,2, 15907,  -999,    35,  -999,=
202412150636,  129,126.49389648, 36.77658081,2, 21602,  -999,  -999,  -999,=
202412150636,  131,127.44065857, 36.63924026,2, 13367,  -999,    51,  -999,=
202412150636,  133,127.37210083, 36.37199020,1,  4140,  -999,    71,  -999,=
202412150636,  135,127.99458313, 36.22024918,2, 17741,  -999,    71,  -999,=
202412150636,  136,128.70733643, 36.57292938,2,  6188,  -999,     3,  -999,=
202412150636,  137,128.15740967, 36.40837097,2, 12107,  -999,    71,  -999,=
202412150636,  138,129.38002014, 36.03200912,2, 50000,  -999,     0,  -999,=
202412150636,  143,128.65295410, 35.87797165,2, 50000,  -999,     0,  -999,=
202412150636,  146,127.11717987, 35.84091949,2, 23361,  -999,     0,  -999,=
202412150636,  155,128.57281494, 35.17018890,1, 49440,  -999,     0,  -999,=
202412150636,  156,126.89156342, 35.17293930,1,  8200,  -999,    10,  -999,=
202412150636,  159,129.03202820, 35.10467911,1, 46337,  -999,     0,  -999,=
202412150636,  165,126.38150787, 34.81732178,1, 45310,  -999,     0,  -999,=
202412150636,  168,127.74063110, 34.73928833,2, 29187,  -999,     0,  -999,=
202412150636,  169,125.45104980, 34.68719101,2, 38748,  -999,     0,  -999,=
202412150636,  170,126.70182037, 34.39590073,1, 35084,  -999,     0,  -999,=
202412150636,  172,126.59899902, 35.34823990,2, 41070,  -999,     0,  -999,=
202412150636,  174,127.36940002, 35.02040100,1, 11740,  -999,    85,  -999,=
202412150636,  177,126.68772125, 36.65758896,2, 21700,  -999,     0,  -999,=
202412150636,  184,126.52969360, 33.51411057,1, 50000,  -999,     0,  -999,=
202412150636,  189,126.56529999, 33.24615860,1, 50000,  -999,     0,  -999,=
202412150636,  192,128.04003906, 35.16378021,2, 48025,  -999,     0,  -999,=
